Designator,Mid X,Mid Y,Rotation,Layer
_12,141.605,-53.34,-90.0,top
_11,167.894,-99.06,0.0,top
_10,141.605,-49.53,-90.0,top
_9,141.605,-91.44,90.0,top
_8,115.316,-99.06,0.0,top
_7,158.496,-99.06,0.0,top
_6,141.605,-90.17,90.0,top
_5,141.605,-50.8,-90.0,top
_4,141.605,-88.9,90.0,top
_3,141.605,-87.63,90.0,top
_2,141.605,-52.07,-90.0,top
,124.714,-99.06,0.0,top
D1,26.035,-59.69,-90.0,bottom
D10,83.185,-40.64,-90.0,bottom
D11,83.185,-59.69,-90.0,bottom
D12,83.185,-78.74,-90.0,bottom
D13,83.185,-97.79,-90.0,bottom
D14,102.235,-40.64,-90.0,bottom
D15,102.235,-59.69,-90.0,bottom
D16,102.235,-78.74,-90.0,bottom
D17,102.235,-97.79,-90.0,bottom
D18,121.285,-40.64,-90.0,bottom
D19,121.285,-59.69,-90.0,bottom
D2,26.035,-78.74,-90.0,bottom
D20,121.285,-78.74,-90.0,bottom
D21,99.695,-97.79,-90.0,bottom
D22,145.415,-40.64,-90.0,bottom
D23,145.415,-59.69,-90.0,bottom
D24,145.415,-78.74,-90.0,bottom
D25,145.415,-97.79,-90.0,bottom
D26,164.465,-40.64,-90.0,bottom
D27,164.465,-59.69,-90.0,bottom
D28,164.465,-78.74,-90.0,bottom
D29,180.975,-97.79,-90.0,bottom
D3,26.035,-97.79,-90.0,bottom
D30,183.515,-40.64,-90.0,bottom
D31,183.515,-59.69,-90.0,bottom
D32,183.515,-78.74,-90.0,bottom
D33,183.515,-97.79,-90.0,bottom
D34,202.565,-40.64,-90.0,bottom
D35,202.565,-59.69,-90.0,bottom
D36,202.565,-78.74,-90.0,bottom
D37,221.615,-59.69,-90.0,bottom
D38,221.615,-78.74,-90.0,bottom
D39,221.615,-97.79,-90.0,bottom
D4,45.085,-59.69,-90.0,bottom
D40,240.665,-59.69,-90.0,bottom
D41,240.665,-78.74,-90.0,bottom
D42,240.665,-97.79,-90.0,bottom
D5,45.085,-78.74,-90.0,bottom
D6,45.085,-97.79,-90.0,bottom
D7,64.135,-40.64,-90.0,bottom
D8,64.135,-59.69,-90.0,bottom
D9,64.135,-78.74,-90.0,bottom
SW1,34.29,-60.96,0.0,top
SW10,91.44,-41.91,0.0,top
SW11,91.44,-60.96,0.0,top
SW12,91.44,-80.01,0.0,top
SW13,91.44,-99.06,0.0,top
SW14,110.49,-41.91,0.0,top
SW15,110.49,-60.96,0.0,top
SW16,110.49,-80.01,0.0,top
SW17,110.49,-99.06,0.0,top
SW18,129.54,-41.91,0.0,top
SW19,129.54,-60.96,0.0,top
SW2,34.29,-80.01,0.0,top
SW20,129.54,-80.01,0.0,top
SW21,129.54,-99.06,0.0,top
SW21A,120.015,-99.06,180.0,top
SW22,153.67,-41.91,0.0,top
SW23,153.67,-60.96,0.0,top
SW24,153.67,-80.01,0.0,top
SW25,153.67,-99.06,0.0,top
SW25A,163.195,-99.06,180.0,top
SW26,172.72,-41.91,0.0,top
SW27,172.72,-60.96,0.0,top
SW28,172.72,-80.01,0.0,top
SW29,172.72,-99.06,0.0,top
SW3,34.29,-99.06,0.0,top
SW30,191.77,-41.91,0.0,top
SW31,191.77,-60.96,0.0,top
SW32,191.77,-80.01,0.0,top
SW33,191.77,-99.06,0.0,top
SW34,210.82,-41.91,0.0,top
SW35,210.82,-60.96,0.0,top
SW36,210.82,-80.01,0.0,top
SW37,229.87,-60.96,0.0,top
SW38,229.87,-80.01,0.0,top
SW39,229.87,-99.06,0.0,top
SW4,53.34,-60.96,0.0,top
SW40,248.92,-60.96,0.0,top
SW41,248.92,-80.01,0.0,top
SW42,248.92,-99.06,0.0,top
SW5,53.34,-80.01,0.0,top
SW6,53.34,-99.06,0.0,top
SW7,72.39,-41.91,0.0,top
SW8,72.39,-60.96,0.0,top
SW9,72.39,-80.01,0.0,top
U1,43.18762,-52.07,180.0,bottom
U2,257.81762,-52.07,180.0,bottom
