Designator,Mid X,Mid Y,Rotation,Layer
_8,144.145,-52.705,-90.0,top
_7,144.145,-90.805,-90.0,top
_6,144.145,-51.435,-90.0,top
_5,144.145,-53.975,-90.0,top
_4,144.145,-55.245,-90.0,top
_3,144.145,-89.535,-90.0,top
_2,144.145,-92.075,-90.0,top
,144.145,-93.345,-90.0,top
SW23,74.93,-43.18,0.0,top
SW24,93.98,-43.18,0.0,top
SW25,113.03,-43.18,0.0,top
SW26,132.08,-43.18,0.0,top
SW27,36.83,-62.23,0.0,top
SW28,55.88,-62.23,0.0,top
SW29,74.93,-62.23,0.0,top
SW30,93.98,-62.23,0.0,top
SW31,113.03,-62.23,0.0,top
SW32,132.08,-62.23,0.0,top
SW33,36.83,-81.28,0.0,top
SW34,55.88,-81.28,0.0,top
SW35,74.93,-81.28,0.0,top
SW36,93.98,-81.28,0.0,top
SW37_2,113.03,-81.28,0.0,top
SW37,113.03,-100.33,0.0,top
SW38_2,132.08,-100.33,0.0,top
SW38,132.08,-81.28,0.0,top
SW39,36.83,-100.33,0.0,top
SW40,55.88,-100.33,0.0,top
SW42,93.98,-100.33,0.0,top
